SetID	SetSize	Offset	Pvalue
MICAL3	4	6050	0.00174404393384331
MYO18B	3	8155	0.014945854167639
MCM5	2	5525	0.0357926411927918
CELSR1	4	791	0.108702164677053
TTC28	2	12099	0.156249201333614
CABIN1	2	264	0.168598907317132
SMTN	2	11045	0.170710328990806
LRRC75B	2	4998	0.177277101083057
IL17REL	4	2369	0.213413106085091
MYH9	2	7628	0.224906523653945
SLC5A4	2	10520	0.231061312131305
PRR14L	2	9994	0.256009124495705
LMF2	4	3422	0.36616059079675
DGCR8	2	1842	0.398739466481506
PRODH	2	9470	0.424947936661156
LOC102724788	2	4474	0.433074738298565
MRTFA	2	7101	0.536051817809481
PACSIN2	2	8943	0.619868562322995
SUSD2	2	11572	0.65815384100161
BPIFC	1	0	0.740771743914013
TUBGCP6	2	12626	0.742439058128839
