SetID	SetSize	Offset	Pvalue
MICAL3	4	6050	0.028044541446021
MCM5	2	5525	0.0794507984099293
MYO18B	3	8155	0.112131385603808
IL17REL	4	2369	0.138806756969221
MYH9	2	7628	0.21226106817969
SLC5A4	2	10520	0.231061312131307
CABIN1	2	264	0.281354689365629
LRRC75B	2	4998	0.304160370280261
CELSR1	4	791	0.346334442280356
PRR14L	2	9994	0.369156280596705
SMTN	2	11045	0.412074020021686
TTC28	2	12099	0.454856958368075
DGCR8	2	1842	0.487433628544062
MRTFA	2	7101	0.508176858462591
LMF2	4	3422	0.581363193387499
PRODH	2	9470	0.633247954599301
LOC102724788	2	4474	0.635233815221888
TUBGCP6	2	12626	0.646549966158805
PACSIN2	2	8943	0.710698588211632
BPIFC	1	0	0.740771743914013
SUSD2	2	11572	0.824144568992216
