SetID	SetSize	Offset	Pvalue
MICAL3	4	6050	0.00297745919881709
MYO18B	3	8155	0.0253473491601788
MCM5	2	5525	0.0533681735038138
IL17REL	4	2369	0.166745284706354
CELSR1	4	791	0.171281538688224
TTC28	2	12099	0.192380711593575
SLC5A4	2	10520	0.231061312131307
LRRC75B	2	4998	0.237521347515325
CABIN1	2	264	0.238351231746553
SMTN	2	11045	0.242120600697467
MYH9	2	7628	0.277908262402594
PRR14L	2	9994	0.303669213580728
DGCR8	2	1842	0.52429644644223
LMF2	4	3422	0.526796526496996
PRODH	2	9470	0.557799875227091
LOC102724788	2	4474	0.570206598519502
MRTFA	2	7101	0.645417365846787
BPIFC	1	0	0.740771743914013
PACSIN2	2	8943	0.777220142773772
SUSD2	2	11572	0.789931371176664
TUBGCP6	2	12626	0.7902964027893
