SetID	SetSize	Offset	Pvalue	gID	FDR_BH	Bonferroni
MICAL3	4	6050	0.00174404393384331	57553	0.0296487468753363	0.0296487468753363
MYO18B	3	8155	0.014945854167639	84700	0.127039760424932	0.254079520849863
MCM5	2	5525	0.0357926411927918	4174	0.202824966759154	0.608474900277461
CELSR1	4	791	0.108702164677053	9620	0.392804230623219	1
TTC28	2	12099	0.156249201333614	23331	0.392804230623219	1
CABIN1	2	264	0.168598907317132	23523	0.392804230623219	1
SMTN	2	11045	0.170710328990806	6525	0.392804230623219	1
IL17REL	4	2369	0.213413106085091	400935	0.392804230623219	1
MYH9	2	7628	0.224906523653945	4627	0.392804230623219	1
SLC5A4	2	10520	0.231061312131305	6527	0.392804230623219	1
PRR14L	2	9994	0.256009124495705	253143	0.395650465129726	1
LMF2	4	3422	0.36616059079675	91289	0.516008208802832	1
DGCR8	2	1842	0.398739466481506	54487	0.516008208802832	1
PRODH	2	9470	0.424947936661156	5625	0.516008208802832	1
PACSIN2	2	8943	0.619868562322995	11252	0.699288456064211	1
SUSD2	2	11572	0.65815384100161	56241	0.699288456064211	1
TUBGCP6	2	12626	0.742439058128839	85378	0.742439058128839	1
